Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Aitkin County                   ,1,1,1,0,51+,30874,14.84,0,341,191,570,863,249,359
Aitkin County                   ,1,1,1,0,19-50,30471,14.65,0,353,152,570,863,253,348
Anoka County                    ,1,1,1,0,19-50,36938,17.76,0,354,161,1066,680,389,428
Anoka County                    ,1,1,1,0,51+,37268,17.92,0,342,199,1066,680,385,434
Becker County                   ,1,1,1,0,19-50,28659,13.78,0,353,152,592,722,259,310
Becker County                   ,1,1,1,0,51+,29069,13.98,0,341,191,592,722,255,321
Beltrami County                 ,1,1,1,0,51+,28656,13.78,0,341,191,612,675,261,308
Beltrami County                 ,1,1,1,0,19-50,28291,13.6,0,353,152,612,675,264,302
Benton County                   ,1,1,1,0,51+,30211,14.52,0,334,191,686,696,279,332
Benton County                   ,1,1,1,0,19-50,29862,14.36,0,346,152,686,696,283,325
Big Stone County                ,1,1,1,0,51+,27380,13.16,0,347,191,565,638,250,291
Big Stone County                ,1,1,1,0,19-50,27015,12.99,0,359,152,565,638,253,284
Blue Earth County               ,1,1,1,0,19-50,29483,14.17,0,352,152,743,597,300,313
Blue Earth County               ,1,1,1,0,51+,29832,14.34,0,340,191,743,597,296,319
Brown County                    ,1,1,1,0,19-50,26588,12.78,0,356,152,590,586,259,273
Brown County                    ,1,1,1,0,51+,26974,12.97,0,344,191,590,586,256,281
Carlton County                  ,1,1,1,0,19-50,30176,14.51,0,352,152,689,706,285,331
Carlton County                  ,1,1,1,0,51+,30605,14.71,0,340,191,689,706,282,342
Carver County                   ,1,1,1,0,51+,37313,17.94,0,348,199,1066,675,387,434
Carver County                   ,1,1,1,0,19-50,36968,17.77,0,360,161,1066,675,390,429
Cass County                     ,1,1,1,0,51+,29045,13.96,0,341,191,568,748,249,323
Cass County                     ,1,1,1,0,19-50,28622,13.76,0,353,152,568,748,252,312
Central Minnesota               ,1,1,1,0,51+,33852,16.27,0,338,195,842,733,323,390
Central Minnesota               ,1,1,1,0,19-50,33492,16.1,0,350,156,842,733,326,384
Chippewa County                 ,1,1,1,0,51+,28025,13.47,0,346,191,580,665,253,300
Chippewa County                 ,1,1,1,0,19-50,27675,13.31,0,358,152,580,665,257,294
Chisago County                  ,1,1,1,0,51+,38682,18.6,0,339,199,1066,769,384,467
Chisago County                  ,1,1,1,0,19-50,38352,18.44,0,351,161,1066,769,388,461
Clay County                     ,1,1,1,0,51+,29917,14.38,0,343,191,718,628,290,323
Clay County                     ,1,1,1,0,19-50,29568,14.22,0,355,152,718,628,294,317
Clearwater County               ,1,1,1,0,19-50,29661,14.26,0,353,152,573,806,254,334
Clearwater County               ,1,1,1,0,51+,30010,14.43,0,341,191,573,806,250,340
Cook County                     ,1,1,1,0,51+,27496,13.22,0,340,191,642,565,269,284
Cook County                     ,1,1,1,0,19-50,27132,13.04,0,352,152,642,565,272,278
Cottonwood County               ,1,1,1,0,51+,27394,13.17,0,346,191,584,618,255,289
Cottonwood County               ,1,1,1,0,19-50,27029,12.99,0,358,152,584,618,258,282
Crow Wing County                ,1,1,1,0,51+,29407,14.14,0,339,191,609,727,259,326
Crow Wing County                ,1,1,1,0,19-50,29057,13.97,0,351,152,609,727,263,319
Dakota County                   ,1,1,1,0,51+,36847,17.71,0,344,199,1066,649,386,427
Dakota County                   ,1,1,1,0,19-50,36502,17.55,0,356,161,1066,649,389,421
Dodge County                    ,1,1,1,0,19-50,32759,15.75,0,351,152,798,743,314,372
Dodge County                    ,1,1,1,0,51+,33123,15.92,0,339,191,798,743,311,378
Douglas County                  ,1,1,1,0,19-50,27915,13.42,0,352,152,582,686,256,298
Douglas County                  ,1,1,1,0,51+,28280,13.6,0,340,191,582,686,253,305
EDR  1 - Northwest              ,1,1,1,0,19-50,27960,13.44,0,357,152,622,635,268,296
EDR  1 - Northwest              ,1,1,1,0,51+,28332,13.62,0,345,191,622,635,265,303
EDR  2 - Headwaters             ,1,1,1,0,19-50,28704,13.8,0,354,152,598,716,260,312
EDR  2 - Headwaters             ,1,1,1,0,51+,29064,13.97,0,342,191,598,716,257,318
EDR  3 - Arrowhead              ,1,1,1,0,51+,29628,14.24,0,341,191,665,673,275,324
EDR  3 - Arrowhead              ,1,1,1,0,19-50,29268,14.07,0,353,152,665,673,279,317
EDR  4 - West Central           ,1,1,1,0,51+,28896,13.89,0,342,191,621,677,264,313
EDR  4 - West Central           ,1,1,1,0,19-50,28524,13.71,0,354,152,621,677,267,306
EDR  5 - North Central          ,1,1,1,0,19-50,29244,14.06,0,351,152,590,762,258,324
EDR  5 - North Central          ,1,1,1,0,51+,29604,14.23,0,339,191,590,762,254,331
EDR  6E- Southwest Central      ,1,1,1,0,51+,28764,13.83,0,342,191,597,696,257,314
EDR  6E- Southwest Central      ,1,1,1,0,19-50,28380,13.64,0,354,152,597,696,260,306
EDR  6W- Upper Minnesota Valley,1,1,1,0,51+,27936,13.43,0,350,191,571,664,252,300
EDR  6W- Upper Minnesota Valley,1,1,1,0,19-50,27588,13.26,0,362,152,571,664,256,294
EDR  7E- East Central           ,1,1,1,0,19-50,35868,17.24,0,349,157,892,824,340,427
EDR  7E- East Central           ,1,1,1,0,51+,36228,17.42,0,338,196,892,824,336,433
EDR  7W- Central                ,1,1,1,0,19-50,33960,16.33,0,350,157,889,707,339,388
EDR  7W- Central                ,1,1,1,0,51+,34308,16.49,0,338,195,889,707,336,394
EDR  8 - Southwest              ,1,1,1,0,19-50,27180,13.07,0,359,152,585,627,258,284
EDR  8 - Southwest              ,1,1,1,0,51+,27564,13.25,0,347,191,585,627,255,292
EDR  9 - South Central          ,1,1,1,0,51+,29196,14.04,0,343,191,676,630,279,314
EDR  9 - South Central          ,1,1,1,0,19-50,28824,13.86,0,355,152,676,630,282,307
EDR 10 - Southeast              ,1,1,1,0,51+,30072,14.46,0,342,191,685,676,281,331
EDR 10 - Southeast              ,1,1,1,0,19-50,29724,14.29,0,354,152,685,676,285,325
EDR 11 - 7 County Twin Cities   ,1,1,1,0,51+,36864,17.72,0,352,199,1066,640,388,427
EDR 11 - 7 County Twin Cities   ,1,1,1,0,19-50,36540,17.57,0,364,161,1066,640,392,422
Faribault County                ,1,1,1,0,19-50,27943,13.43,0,369,152,565,686,256,301
Faribault County                ,1,1,1,0,51+,28293,13.6,0,357,191,565,686,252,307
Fillmore County                 ,1,1,1,0,51+,29615,14.24,0,341,191,573,780,250,333
Fillmore County                 ,1,1,1,0,19-50,29266,14.07,0,353,152,573,780,254,327
Freeborn County                 ,1,1,1,0,19-50,27426,13.19,0,355,152,565,670,252,291
Freeborn County                 ,1,1,1,0,51+,27776,13.35,0,343,191,565,670,248,298
Goodhue County                  ,1,1,1,0,51+,31047,14.93,0,341,191,637,795,268,355
Goodhue County                  ,1,1,1,0,19-50,30683,14.75,0,353,152,637,795,271,349
Grant County                    ,1,1,1,0,51+,30116,14.48,0,347,191,612,759,263,338
Grant County                    ,1,1,1,0,19-50,29751,14.3,0,359,152,612,759,266,331
Hennepin County                 ,1,1,1,0,19-50,36367,17.48,0,369,161,1066,623,393,419
Hennepin County                 ,1,1,1,0,51+,36697,17.64,0,357,199,1066,623,389,424
Houston County                  ,1,1,1,0,19-50,29930,14.39,0,354,152,681,696,284,327
Houston County                  ,1,1,1,0,51+,30279,14.56,0,342,191,681,696,280,333
Hubbard County                  ,1,1,1,0,19-50,29322,14.1,0,355,152,566,790,252,329
Hubbard County                  ,1,1,1,0,51+,29687,14.27,0,343,191,566,790,249,335
Isanti County                   ,1,1,1,0,51+,39268,18.88,0,336,199,1066,811,384,476
Isanti County                   ,1,1,1,0,19-50,38923,18.71,0,348,161,1066,811,387,471
Itasca County                   ,1,1,1,0,51+,30223,14.53,0,341,191,621,764,263,339
Itasca County                   ,1,1,1,0,19-50,29874,14.36,0,353,152,621,764,267,332
Jackson County                  ,1,1,1,0,19-50,26604,12.79,0,362,152,571,602,255,275
Jackson County                  ,1,1,1,0,51+,26990,12.98,0,350,191,571,602,252,283
Kanabec County                  ,1,1,1,0,51+,33020,15.88,0,338,191,637,926,267,393
Kanabec County                  ,1,1,1,0,19-50,32655,15.7,0,350,152,637,926,270,386
Kandiyohi County                ,1,1,1,0,51+,27852,13.39,0,345,191,611,618,262,294
Kandiyohi County                ,1,1,1,0,19-50,27487,13.21,0,357,152,611,618,265,288
Kittson County                  ,1,1,1,0,19-50,28126,13.52,0,358,152,565,712,253,304
Kittson County                  ,1,1,1,0,51+,28475,13.69,0,346,191,565,712,249,310
Koochiching County              ,1,1,1,0,51+,26428,12.71,0,341,191,565,586,248,271
Koochiching County              ,1,1,1,0,19-50,26061,12.53,0,353,152,565,586,251,265
Lac qui Parle County            ,1,1,1,0,51+,27441,13.19,0,358,191,565,628,253,292
Lac qui Parle County            ,1,1,1,0,19-50,27091,13.02,0,371,152,565,628,256,286
Lake County                     ,1,1,1,0,51+,29047,13.96,0,344,191,596,712,257,321
Lake County                     ,1,1,1,0,19-50,28621,13.76,0,356,152,596,712,260,309
Lake of the Woods County        ,1,1,1,0,51+,27876,13.4,0,340,191,578,665,251,298
Lake of the Woods County        ,1,1,1,0,19-50,27526,13.23,0,352,152,578,665,255,292
Le Sueur County                 ,1,1,1,0,51+,30969,14.89,0,338,191,729,686,292,345
Le Sueur County                 ,1,1,1,0,19-50,30606,14.71,0,350,152,729,686,295,339
Lincoln County                  ,1,1,1,0,19-50,29178,14.03,0,363,152,571,764,256,325
Lincoln County                  ,1,1,1,0,51+,29512,14.19,0,350,191,571,764,252,331
Lyon County                     ,1,1,1,0,51+,26288,12.64,0,345,191,567,570,249,269
Lyon County                     ,1,1,1,0,19-50,25935,12.47,0,357,152,567,570,253,262
Mahnomen County                 ,1,1,1,0,51+,29342,14.11,0,342,191,650,670,272,320
Mahnomen County                 ,1,1,1,0,19-50,28978,13.93,0,354,152,650,670,275,314
Marshall County                 ,1,1,1,0,51+,29293,14.08,0,348,191,565,759,250,328
Marshall County                 ,1,1,1,0,19-50,28928,13.91,0,360,152,565,759,253,322
Martin County                   ,1,1,1,0,51+,26787,12.88,0,345,191,565,602,249,280
Martin County                   ,1,1,1,0,19-50,26382,12.68,0,357,152,565,602,252,270
McLeod County                   ,1,1,1,0,51+,29097,13.99,0,338,191,574,748,250,324
McLeod County                   ,1,1,1,0,19-50,28658,13.78,0,349,152,574,748,253,312
Meeker County                   ,1,1,1,0,51+,29467,14.17,0,339,191,580,764,252,330
Meeker County                   ,1,1,1,0,19-50,29103,13.99,0,351,152,580,764,255,323
Mille Lacs County               ,1,1,1,0,51+,31567,15.18,0,336,191,719,738,289,358
Mille Lacs County               ,1,1,1,0,19-50,31187,14.99,0,347,152,719,738,292,351
Minnesota                       ,1,1,1,0,51+,34068,16.38,0,347,196,903,663,342,388
Minnesota                       ,1,1,1,0,19-50,33708,16.21,0,359,157,903,663,345,382
Morrison County                 ,1,1,1,0,51+,30388,14.61,0,339,191,565,843,247,347
Morrison County                 ,1,1,1,0,19-50,30038,14.44,0,351,152,565,843,251,341
Mower County                    ,1,1,1,0,51+,28034,13.48,0,343,191,593,654,256,299
Mower County                    ,1,1,1,0,19-50,27669,13.3,0,355,152,593,654,259,293
Murray County                   ,1,1,1,0,51+,28293,13.6,0,353,191,565,691,251,307
Murray County                   ,1,1,1,0,19-50,27943,13.43,0,365,152,565,691,255,301
Nicollet County                 ,1,1,1,0,51+,29771,14.31,0,341,191,743,591,297,318
Nicollet County                 ,1,1,1,0,19-50,29408,14.14,0,353,152,743,591,300,312
Nobles County                   ,1,1,1,0,51+,27154,13.05,0,344,191,573,618,251,286
Nobles County                   ,1,1,1,0,19-50,26789,12.88,0,356,152,573,618,254,279
Norman County                   ,1,1,1,0,51+,29813,14.33,0,346,191,592,764,257,334
Norman County                   ,1,1,1,0,19-50,29448,14.16,0,358,152,592,764,260,328
Northeast Minnesota             ,1,1,1,0,51+,29628,14.24,0,341,191,665,673,275,324
Northeast Minnesota             ,1,1,1,0,19-50,29268,14.07,0,353,152,665,673,279,317
Northwest Minnesota             ,1,1,1,0,51+,29052,13.97,0,342,191,609,701,260,318
Northwest Minnesota             ,1,1,1,0,19-50,28692,13.79,0,354,152,609,701,264,311
Olmsted County,1,1,1,0,51+,31068,14.94,0,344,191,798,602,313,341
Olmsted County,1,1,1,0,19-50,30684,14.75,0,356,152,798,602,316,333
Otter Tail County               ,1,1,1,0,51+,28705,13.8,0,342,191,573,722,251,313
Otter Tail County               ,1,1,1,0,19-50,28340,13.63,0,354,152,573,722,254,307
Pennington County               ,1,1,1,0,51+,25648,12.33,0,346,191,565,529,249,257
Pennington County               ,1,1,1,0,19-50,25295,12.16,0,358,152,565,529,253,251
Pine County                     ,1,1,1,0,19-50,32895,15.81,0,350,152,619,963,265,392
Pine County                     ,1,1,1,0,51+,33260,15.99,0,338,191,619,963,262,399
Pipestone County                ,1,1,1,0,19-50,28572,13.74,0,359,152,635,659,272,304
Pipestone County                ,1,1,1,0,51+,29001,13.94,0,347,191,635,659,269,316
Polk County                     ,1,1,1,0,51+,29299,14.09,0,346,191,706,597,288,314
Polk County                     ,1,1,1,0,19-50,28935,13.91,0,358,152,706,597,291,307
Pope County                     ,1,1,1,0,51+,28425,13.67,0,345,191,568,706,250,309
Pope County                     ,1,1,1,0,19-50,28060,13.49,0,357,152,568,706,253,302
Ramsey County                   ,1,1,1,0,19-50,36517,17.56,0,373,161,1066,628,394,421
Ramsey County                   ,1,1,1,0,51+,36832,17.71,0,360,199,1066,628,390,426
Red Lake County                 ,1,1,1,0,19-50,29962,14.4,0,356,152,623,764,268,334
Red Lake County                 ,1,1,1,0,51+,30326,14.58,0,344,191,623,764,265,340
Redwood County                  ,1,1,1,0,19-50,28241,13.58,0,360,152,642,628,274,297
Redwood County                  ,1,1,1,0,51+,28606,13.75,0,348,191,642,628,271,304
Renville County                 ,1,1,1,0,51+,29631,14.25,0,350,191,640,691,271,326
Renville County                 ,1,1,1,0,19-50,29282,14.08,0,363,152,640,691,274,320
Rice County                     ,1,1,1,0,51+,31645,15.21,0,340,191,697,764,284,361
Rice County                     ,1,1,1,0,19-50,31281,15.04,0,352,152,697,764,287,355
Rock County                     ,1,1,1,0,19-50,27441,13.19,0,356,152,565,670,252,292
Rock County                     ,1,1,1,0,51+,27806,13.37,0,344,191,565,670,249,298
Roseau County                   ,1,1,1,0,51+,26984,12.97,0,339,191,565,623,247,284
Roseau County                   ,1,1,1,0,19-50,26614,12.8,0,351,152,565,623,251,276
Saint Louis County              ,1,1,1,0,51+,29523,14.19,0,341,191,689,638,282,319
Saint Louis County              ,1,1,1,0,19-50,29159,14.02,0,353,152,689,638,285,313
Scott County                    ,1,1,1,0,51+,36953,17.77,0,342,199,1066,659,385,428
Scott County                    ,1,1,1,0,19-50,36622,17.61,0,354,161,1066,659,389,423
"Seven County Mpls-St Paul, MN   ",1,1,1,0,19-50,36540,17.57,0,364,161,1066,640,392,422
"Seven County Mpls-St Paul, MN   ",1,1,1,0,51+,36864,17.72,0,352,199,1066,640,388,427
Sherburne County                ,1,1,1,0,19-50,38232,18.38,0,349,161,1066,764,387,459
Sherburne County                ,1,1,1,0,51+,38577,18.55,0,337,199,1066,764,384,465
Sibley County                   ,1,1,1,0,19-50,29044,13.96,0,359,152,666,649,281,313
Sibley County                   ,1,1,1,0,51+,29393,14.13,0,347,191,666,649,277,319
Southeast Minnesota             ,1,1,1,0,51+,30072,14.46,0,342,191,685,676,281,331
Southeast Minnesota             ,1,1,1,0,19-50,29724,14.29,0,354,152,685,676,285,325
Southwest Minnesota             ,1,1,1,0,51+,28572,13.74,0,345,191,637,633,269,306
Southwest Minnesota             ,1,1,1,0,19-50,28200,13.56,0,357,152,637,633,272,299
Stearns County                  ,1,1,1,0,51+,29695,14.28,0,340,191,686,654,281,323
Stearns County                  ,1,1,1,0,19-50,29331,14.1,0,352,152,686,654,284,316
Steele County                   ,1,1,1,0,51+,27549,13.24,0,343,191,592,623,256,291
Steele County                   ,1,1,1,0,19-50,27184,13.07,0,355,152,592,623,259,284
Stevens County                  ,1,1,1,0,51+,26378,12.68,0,342,191,642,492,269,262
Stevens County                  ,1,1,1,0,19-50,26028,12.51,0,354,152,642,492,273,256
Swift County                    ,1,1,1,0,19-50,28082,13.5,0,361,152,573,696,256,302
Swift County                    ,1,1,1,0,51+,28416,13.66,0,348,191,573,696,252,308
Todd County                     ,1,1,1,0,51+,29779,14.32,0,338,191,585,780,253,335
Todd County                     ,1,1,1,0,19-50,29414,14.14,0,350,152,585,780,256,328
Traverse County                 ,1,1,1,0,19-50,27639,13.29,0,366,152,565,670,255,295
Traverse County                 ,1,1,1,0,51+,27989,13.46,0,354,191,565,670,251,301
Wabasha County                  ,1,1,1,0,51+,29710,14.28,0,340,191,619,733,263,330
Wabasha County                  ,1,1,1,0,19-50,29345,14.11,0,352,152,619,733,266,323
Wadena County                   ,1,1,1,0,51+,29663,14.26,0,342,191,620,727,263,329
Wadena County                   ,1,1,1,0,19-50,29313,14.09,0,354,152,620,727,267,323
Waseca County                   ,1,1,1,0,51+,28700,13.8,0,347,191,576,712,253,313
Waseca County                   ,1,1,1,0,19-50,28335,13.62,0,359,152,576,712,256,306
Washington County               ,1,1,1,0,51+,36998,17.79,0,344,199,1066,659,386,429
Washington County               ,1,1,1,0,19-50,36652,17.62,0,356,161,1066,659,389,423
Watonwan County                 ,1,1,1,0,19-50,29597,14.23,0,353,152,642,722,272,325
Watonwan County                 ,1,1,1,0,51+,29962,14.4,0,341,191,642,722,269,332
Wilkin County                   ,1,1,1,0,19-50,26629,12.8,0,352,152,565,623,251,276
Wilkin County                   ,1,1,1,0,51+,27015,12.99,0,340,191,565,623,248,284
Winona County                   ,1,1,1,0,51+,28019,13.47,0,342,191,611,633,261,297
Winona County                   ,1,1,1,0,19-50,27654,13.3,0,354,152,611,633,264,291
Wright County                   ,1,1,1,0,51+,37981,18.26,0,336,199,1066,733,384,447
Wright County                   ,1,1,1,0,19-50,37636,18.09,0,348,161,1066,733,387,441
Yellow Medicine County          ,1,1,1,0,51+,28016,13.47,0,353,191,567,670,252,302
Yellow Medicine County          ,1,1,1,0,19-50,27651,13.29,0,365,152,567,670,255,295
Aitkin County                   ,2,2,1,0,19-50,40897,19.66,0,647,496,574,944,334,413
Aitkin County                   ,2,2,1.5,0,51+,42520,13.63,0,625,573,574,944,328,499
Aitkin County                   ,2,1,1,1,19-50,52906,25.44,958,522,482,756,870,350,471
Aitkin County                   ,2,2,2,0,19-50,41769,10.04,0,647,496,574,944,334,486
Aitkin County                   ,2,2,1.5,0,19-50,41769,13.39,0,647,496,574,944,334,486
Aitkin County                   ,2,2,1,0,51+,41627,20.01,0,625,573,574,944,328,425
Aitkin County                   ,2,2,2,0,51+,42520,10.22,0,625,573,574,944,328,499
Anoka County                    ,2,1,1,1,19-50,66966,32.2,1369,524,406,1348,685,513,735
Anoka County                    ,2,2,2,0,51+,47928,11.52,0,628,497,1086,738,469,576
Anoka County                    ,2,2,2,0,19-50,47168,11.34,0,650,420,1086,738,475,562
Anoka County                    ,2,2,1,0,19-50,45977,22.1,0,650,420,1086,738,475,462
Anoka County                    ,2,2,1.5,0,51+,47928,15.36,0,628,497,1086,738,469,576
Anoka County                    ,2,2,1,0,51+,46743,22.47,0,628,497,1086,738,469,477
Anoka County                    ,2,2,1.5,0,19-50,47168,15.12,0,650,420,1086,738,475,562
Becker County                   ,2,2,1,0,19-50,39014,18.76,0,647,496,606,785,343,374
Becker County                   ,2,2,1,0,51+,39743,19.11,0,625,573,606,785,337,386
Becker County                   ,2,2,2,0,51+,40637,9.77,0,625,573,606,785,337,460
Becker County                   ,2,2,1.5,0,19-50,39887,12.78,0,647,496,606,785,343,447
Becker County                   ,2,1,1,1,19-50,43187,20.76,503,522,482,756,727,350,259
Becker County                   ,2,2,1.5,0,51+,40637,13.02,0,625,573,606,785,337,460
Becker County                   ,2,2,2,0,19-50,39887,9.59,0,647,496,606,785,343,447
Beltrami County                 ,2,2,2,0,51+,40150,9.65,0,626,573,622,732,342,451
Beltrami County                 ,2,1,1,1,19-50,43046,20.7,464,523,482,820,680,368,250
Beltrami County                 ,2,2,2,0,19-50,39400,9.47,0,648,496,622,732,348,437
Beltrami County                 ,2,2,1.5,0,51+,40150,12.87,0,626,573,622,732,342,451
Beltrami County                 ,2,2,1,0,51+,39259,18.87,0,626,573,622,732,342,377
Beltrami County                 ,2,2,1.5,0,19-50,39400,12.63,0,648,496,622,732,348,437
Beltrami County                 ,2,2,1,0,19-50,38492,18.51,0,648,496,622,732,348,362
Benton County                   ,2,2,2,0,51+,41589,10,0,613,573,691,755,357,477
Benton County                   ,2,1,1,1,19-50,46051,22.14,605,512,482,846,701,372,320
Benton County                   ,2,2,1,0,51+,40638,19.54,0,613,573,691,755,357,397
Benton County                   ,2,2,1.5,0,51+,41589,13.33,0,613,573,691,755,357,477
Benton County                   ,2,2,2,0,19-50,40772,9.8,0,634,496,691,755,363,459
Benton County                   ,2,2,1,0,19-50,39814,19.14,0,634,496,691,755,363,379
Benton County                   ,2,2,1.5,0,19-50,40772,13.07,0,634,496,691,755,363,459
Big Stone County                ,2,2,1,0,19-50,37217,17.89,0,659,496,574,691,338,343
Big Stone County                ,2,1,1,1,19-50,40538,19.49,420,532,482,756,643,353,192
Big Stone County                ,2,2,2,0,19-50,38046,9.15,0,659,496,574,691,338,412
Big Stone County                ,2,2,1.5,0,51+,38784,12.43,0,637,573,574,691,331,426
Big Stone County                ,2,2,1.5,0,19-50,38046,12.19,0,659,496,574,691,338,412
Big Stone County                ,2,2,2,0,51+,38784,9.32,0,637,573,574,691,331,426
Big Stone County                ,2,2,1,0,51+,37930,18.24,0,637,573,574,691,331,355
Blue Earth County               ,2,2,2,0,51+,41185,9.9,0,623,573,754,644,377,461
Blue Earth County               ,2,1,1,1,19-50,45931,22.08,519,520,482,990,600,413,304
Blue Earth County               ,2,2,1,0,51+,40198,19.33,0,623,573,754,644,377,379
Blue Earth County               ,2,2,1,0,19-50,39471,18.98,0,645,496,754,644,383,367
Blue Earth County               ,2,2,1.5,0,19-50,40436,12.96,0,645,496,754,644,383,448
Blue Earth County               ,2,2,2,0,19-50,40436,9.72,0,645,496,754,644,383,448
Blue Earth County               ,2,2,1.5,0,51+,41185,13.2,0,623,573,754,644,377,461
Brown County                    ,2,1,1,1,19-50,40398,19.42,474,526,482,756,590,351,187
Brown County                    ,2,2,2,0,19-50,37566,9.03,0,652,496,604,632,344,402
Brown County                    ,2,2,2,0,51+,38316,9.21,0,630,573,604,632,338,416
Brown County                    ,2,2,1.5,0,51+,38316,12.28,0,630,573,604,632,338,416
Brown County                    ,2,2,1,0,19-50,36729,17.66,0,652,496,604,632,344,333
Brown County                    ,2,2,1,0,51+,37457,18.01,0,630,573,604,632,338,344
Brown County                    ,2,2,1.5,0,19-50,37566,12.04,0,652,496,604,632,344,402
Carlton County                  ,2,2,1.5,0,51+,41972,13.45,0,623,573,691,767,360,484
Carlton County                  ,2,2,2,0,51+,41972,10.09,0,623,573,691,767,360,484
Carlton County                  ,2,2,1,0,51+,41010,19.72,0,623,573,691,767,360,403
Carlton County                  ,2,2,1,0,19-50,40200,19.33,0,645,496,691,767,366,385
Carlton County                  ,2,1,1,1,19-50,46963,22.58,564,520,482,911,711,392,334
Carlton County                  ,2,2,2,0,19-50,41170,9.9,0,645,496,691,767,366,466
Carlton County                  ,2,2,1.5,0,19-50,41170,13.2,0,645,496,691,767,366,466
Carver County                   ,2,2,1,0,51+,46833,22.52,0,637,497,1086,732,472,479
Carver County                   ,2,2,1,0,19-50,46112,22.17,0,660,420,1086,732,478,467
Carver County                   ,2,1,1,1,19-50,64053,30.79,1192,532,406,1348,680,515,665
Carver County                   ,2,2,2,0,51+,48035,11.55,0,637,497,1086,732,472,579
Carver County                   ,2,2,1.5,0,51+,48035,15.4,0,637,497,1086,732,472,579
Carver County                   ,2,2,1.5,0,19-50,47277,15.15,0,660,420,1086,732,478,564
Carver County                   ,2,2,2,0,19-50,47277,11.36,0,660,420,1086,732,478,564
Cass County                     ,2,2,2,0,19-50,39786,9.56,0,647,496,577,814,335,446
Cass County                     ,2,2,1.5,0,51+,40536,12.99,0,625,573,577,814,329,460
Cass County                     ,2,1,1,1,19-50,43761,21.04,505,522,482,761,754,351,272
Cass County                     ,2,2,1,0,51+,39666,19.07,0,625,573,577,814,329,388
Cass County                     ,2,2,1.5,0,19-50,39786,12.75,0,647,496,577,814,335,446
Cass County                     ,2,2,1,0,19-50,38937,18.72,0,647,496,577,814,335,376
Cass County                     ,2,2,2,0,51+,40536,9.74,0,625,573,577,814,329,460
Central Minnesota               ,2,1,1,1,19-50,54144,26.03,834,518,447,1066,738,434,475
Central Minnesota               ,2,2,2,0,19-50,44172,10.62,0,642,461,855,796,410,517
Central Minnesota               ,2,2,1.5,0,51+,44940,14.4,0,620,538,855,796,404,532
Central Minnesota               ,2,2,2,0,51+,44940,10.8,0,620,538,855,796,404,532
Central Minnesota               ,2,2,1,0,19-50,43116,20.73,0,642,461,855,796,410,429
Central Minnesota               ,2,2,1.5,0,19-50,44172,14.16,0,642,461,855,796,410,517
Central Minnesota               ,2,2,1,0,51+,43860,21.09,0,620,538,855,796,404,442
Chippewa County                 ,2,2,1,0,51+,38612,18.56,0,634,573,589,720,335,367
Chippewa County                 ,2,2,2,0,19-50,38712,9.31,0,656,496,589,720,341,424
Chippewa County                 ,2,2,2,0,51+,39501,9.5,0,634,573,589,720,335,441
Chippewa County                 ,2,2,1.5,0,51+,39501,12.66,0,634,573,589,720,335,441
Chippewa County                 ,2,2,1.5,0,19-50,38712,12.41,0,656,496,589,720,341,424
Chippewa County                 ,2,2,1,0,19-50,37850,18.2,0,656,496,589,720,341,352
Chippewa County                 ,2,1,1,1,19-50,41478,19.94,454,529,482,756,669,352,214
Chisago County                  ,2,2,1.5,0,51+,49381,15.83,0,621,497,1086,838,467,606
Chisago County                  ,2,2,2,0,19-50,48621,11.69,0,643,420,1086,838,473,592
Chisago County                  ,2,2,2,0,51+,49381,11.87,0,621,497,1086,838,467,606
Chisago County                  ,2,1,1,1,19-50,60956,29.31,924,518,406,1348,775,511,598
Chisago County                  ,2,2,1,0,51+,48171,23.16,0,621,497,1086,838,467,505
Chisago County                  ,2,2,1.5,0,19-50,48621,15.58,0,643,420,1086,838,473,592
Chisago County                  ,2,2,1,0,19-50,47403,22.79,0,643,420,1086,838,473,490
Clay County                     ,2,2,1,0,19-50,39738,19.1,0,650,496,734,679,379,373
Clay County                     ,2,2,1,0,51+,40561,19.5,0,629,573,734,679,373,392
Clay County                     ,2,2,2,0,19-50,40708,9.79,0,650,496,734,679,379,454
Clay County                     ,2,2,1.5,0,19-50,40708,13.05,0,650,496,734,679,379,454
Clay County                     ,2,2,2,0,51+,41542,9.99,0,629,573,734,679,373,474
Clay County                     ,2,1,1,1,19-50,46932,22.56,648,525,482,900,632,390,334
Clay County                     ,2,2,1.5,0,51+,41542,13.31,0,629,573,734,679,373,474
Clearwater County               ,2,1,1,1,19-50,43336,20.83,426,523,482,756,812,350,262
Clearwater County               ,2,2,1,0,51+,40607,19.52,0,626,573,574,879,329,403
Clearwater County               ,2,2,1,0,19-50,39864,19.17,0,648,496,574,879,334,391
Clearwater County               ,2,2,2,0,51+,41502,9.98,0,626,573,574,879,329,478
Clearwater County               ,2,2,1.5,0,51+,41502,13.3,0,626,573,574,879,329,478
Clearwater County               ,2,2,2,0,19-50,40737,9.79,0,648,496,574,879,334,464
Clearwater County               ,2,2,1.5,0,19-50,40737,13.06,0,648,496,574,879,334,464
Cook County                     ,2,2,2,0,19-50,38176,9.18,0,645,496,664,608,358,410
