Type,National Average,MN,Ohio
Food,904.5265109034268,932.5015576323988,895.4812457943925
Health Care,481.3649221183801,512.0903426791277,466.9239744548287
Housing,1083.586495327103,976.2040498442368,834.3616014018693
Transport,810.8559112149533,794.9567757009346,794.6387929906542
Other,485.96193925233644,522.5397196261682,481.10231985981306
