Name,Population,B19001_001E,Median Household Income,Aggregate Income,Aggregate Household Income,Ratio of Income to Poverty Level,Median Value,Earnings,Wage or Salary Income,Self-Employed Income,"Interest, Dividend, or Net Rental Income",Social Security Income,Supplemental Income,Public Assistance Income,Public Assistance or Food Stamp/SNAP Income,Retirement Income,Other Types of Income,Aggregate Earnings for Households,Value,Selected Monthly Owner Costs,Monthly Housing Costs,State
Michigan,10050811.0,4051798.0,63498.0,355323367600.0,348832679900.0,9847403.0,199100.0,4051798.0,4051798.0,4051798.0,4051798.0,4051798.0,4051798.0,4051798.0,4051798.0,4051798.0,4051798.0,247596674200.0,2966347.0,2966347.0,4051798.0,26
Minnesota,5707390.0,2281033.0,77720.0,238298937300.0,235641897400.0,5587189.0,285400.0,2281033.0,2281033.0,2281033.0,2281033.0,2281033.0,2281033.0,2281033.0,2281033.0,2281033.0,2281033.0,178396224600.0,1665101.0,1665101.0,2281033.0,27
Mississippi,2949965.0,1129611.0,48716.0,79474853300.0,76867351200.0,2861627.0,145600.0,1129611.0,1129611.0,1129611.0,1129611.0,1129611.0,1129611.0,1129611.0,1129611.0,1129611.0,1129611.0,53226713600.0,787068.0,787068.0,1129611.0,28
Missouri,6168187.0,2468726.0,61847.0,213375294300.0,209644337900.0,5999824.0,198300.0,2468726.0,2468726.0,2468726.0,2468726.0,2468726.0,2468726.0,2468726.0,2468726.0,2468726.0,2468726.0,152282846500.0,1698595.0,1698595.0,2468726.0,29
Montana,1104271.0,448949.0,63249.0,39775701200.0,39095897500.0,1079864.0,322800.0,448949.0,448949.0,448949.0,448949.0,448949.0,448949.0,448949.0,448949.0,448949.0,448949.0,25871848400.0,311861.0,311861.0,448949.0,30
Nebraska,1963692.0,785982.0,66817.0,71137988100.0,70116376900.0,1914212.0,204900.0,785982.0,785982.0,785982.0,785982.0,785982.0,785982.0,785982.0,785982.0,785982.0,785982.0,52236410500.0,532582.0,532582.0,785982.0,31
Nevada,3143991.0,1191380.0,66274.0,109830179400.0,107177440800.0,3103176.0,373000.0,1191380.0,1191380.0,1191380.0,1191380.0,1191380.0,1191380.0,1191380.0,1191380.0,1191380.0,1191380.0,75535177500.0,704548.0,704548.0,1191380.0,32
New Hampshire,1388992.0,548026.0,88465.0,63011195400.0,61328304900.0,1348892.0,345200.0,548026.0,548026.0,548026.0,548026.0,548026.0,548026.0,548026.0,548026.0,548026.0,548026.0,45872215000.0,397225.0,397225.0,548026.0,33
New Jersey,9267130.0,3497945.0,89296.0,438689577500.0,437070555400.0,9093135.0,389800.0,3497945.0,3497945.0,3497945.0,3497945.0,3497945.0,3497945.0,3497945.0,3497945.0,3497945.0,3497945.0,336985916400.0,2252974.0,2252974.0,3497945.0,34
New Mexico,2115877.0,834007.0,53992.0,65683493200.0,64209541800.0,2076524.0,214000.0,834007.0,834007.0,834007.0,834007.0,834007.0,834007.0,834007.0,834007.0,834007.0,834007.0,42576927000.0,579708.0,579708.0,834007.0,35
New York,19835913.0,7652666.0,74314.0,854494853500.0,839741124400.0,19329338.0,368800.0,7652666.0,7652666.0,7652666.0,7652666.0,7652666.0,7652666.0,7652666.0,7652666.0,7652666.0,7652666.0,630486818800.0,4239037.0,4239037.0,7652666.0,36
North Carolina,10551162.0,4179632.0,61972.0,371972189600.0,362808645400.0,10285053.0,236900.0,4179632.0,4179632.0,4179632.0,4179632.0,4179632.0,4179632.0,4179632.0,4179632.0,4179632.0,4179632.0,266168234600.0,2794211.0,2794211.0,4179632.0,37
