region,geo_type,geo_id,sex,race,year,999
2,1,all_region,0,0,2049,89964
2,1,all_region,0,0,2050,89895
2,1,all_region,0,0,2051,89821
2,1,all_region,0,0,2052,89743
2,1,all_region,0,0,2053,89662
2,1,all_region,0,0,2054,89577
2,1,all_region,0,0,2055,89490
2,1,all_region,0,0,2056,89399
2,1,all_region,0,0,2057,89305
2,1,all_region,0,0,2058,89208
2,1,all_region,0,0,2059,89107
2,1,all_region,0,0,2060,89004
3,1,all_region,0,0,2010,326129
3,1,all_region,0,0,2011,326310
3,1,all_region,0,0,2012,325923
3,1,all_region,0,0,2013,325884
3,1,all_region,0,0,2014,325872
3,1,all_region,0,0,2015,325372
3,1,all_region,0,0,2016,324842
3,1,all_region,0,0,2017,324728
3,1,all_region,0,0,2018,325092
3,1,all_region,0,0,2019,324865
3,1,all_region,0,0,2020,324545
3,1,all_region,0,0,2021,324168
3,1,all_region,0,0,2022,323730
3,1,all_region,0,0,2023,323228
3,1,all_region,0,0,2024,322657
3,1,all_region,0,0,2025,322015
3,1,all_region,0,0,2026,321307
3,1,all_region,0,0,2027,320525
3,1,all_region,0,0,2028,319666
3,1,all_region,0,0,2029,318728
3,1,all_region,0,0,2030,317709
3,1,all_region,0,0,2031,316609
3,1,all_region,0,0,2032,315427
3,1,all_region,0,0,2033,314165
3,1,all_region,0,0,2034,312824
3,1,all_region,0,0,2035,311406
3,1,all_region,0,0,2036,309914
3,1,all_region,0,0,2037,308352
3,1,all_region,0,0,2038,306721
3,1,all_region,0,0,2039,305024
3,1,all_region,0,0,2040,303266
3,1,all_region,0,0,2041,301450
3,1,all_region,0,0,2042,299578
3,1,all_region,0,0,2043,297656
3,1,all_region,0,0,2044,295686
3,1,all_region,0,0,2045,293674
3,1,all_region,0,0,2046,291624
3,1,all_region,0,0,2047,289538
3,1,all_region,0,0,2048,287420
3,1,all_region,0,0,2049,285273
3,1,all_region,0,0,2050,283101
3,1,all_region,0,0,2051,280905
3,1,all_region,0,0,2052,278688
3,1,all_region,0,0,2053,276450
3,1,all_region,0,0,2054,274192
3,1,all_region,0,0,2055,271917
3,1,all_region,0,0,2056,269622
3,1,all_region,0,0,2057,267310
3,1,all_region,0,0,2058,264979
3,1,all_region,0,0,2059,262630
3,1,all_region,0,0,2060,260262
4,1,all_region,0,0,2010,221781
4,1,all_region,0,0,2011,222800
4,1,all_region,0,0,2012,223231
4,1,all_region,0,0,2013,224016
4,1,all_region,0,0,2014,225089
4,1,all_region,0,0,2015,226302
4,1,all_region,0,0,2016,228039
4,1,all_region,0,0,2017,229788
4,1,all_region,0,0,2018,231535
4,1,all_region,0,0,2019,232165
4,1,all_region,0,0,2020,233374
4,1,all_region,0,0,2021,234561
4,1,all_region,0,0,2022,235724
4,1,all_region,0,0,2023,236858
4,1,all_region,0,0,2024,237961
4,1,all_region,0,0,2025,239031
4,1,all_region,0,0,2026,240070
4,1,all_region,0,0,2027,241072
4,1,all_region,0,0,2028,242034
