"FHFA HPI® State Indexes for Houses 
not in Metropolitan Statistical Areas",,,,
,,,,
State,Year,Quarter,Index,Standard Error
AK,1995,1,100.00,( 0.00)
AK,1995,2,104.06,( 1.73)
AK,1995,3,102.53,( 1.43)
AK,1995,4,103.94,( 1.58)
AK,1996,1,107.87,( 1.52)
AK,1996,2,108.00,( 1.53)
AK,1996,3,109.33,( 1.64)
AK,1996,4,110.68,( 1.75)
AK,1997,1,109.74,( 1.85)
AK,1997,2,110.73,( 1.66)
AK,1997,3,112.43,( 1.72)
AK,1997,4,112.56,( 1.72)
AK,1998,1,111.07,( 1.50)
AK,1998,2,112.16,( 1.53)
AK,1998,3,114.38,( 1.64)
AK,1998,4,113.38,( 1.51)
AK,1999,1,112.84,( 1.57)
AK,1999,2,116.80,( 1.71)
AK,1999,3,117.42,( 1.77)
AK,1999,4,116.50,( 1.97)
AK,2000,1,117.55,( 2.04)
AK,2000,2,117.76,( 1.81)
AK,2000,3,116.92,( 1.85)
AK,2000,4,118.26,( 1.87)
AK,2001,1,120.28,( 1.83)
AK,2001,2,122.44,( 1.68)
AK,2001,3,122.31,( 1.66)
AK,2001,4,121.93,( 1.58)
AK,2002,1,122.49,( 1.61)
AK,2002,2,125.95,( 1.72)
AK,2002,3,124.74,( 1.64)
AK,2002,4,124.38,( 1.60)
AK,2003,1,125.36,( 1.62)
AK,2003,2,127.40,( 1.64)
AK,2003,3,128.32,( 1.66)
AK,2003,4,133.11,( 1.82)
AK,2004,1,133.10,( 1.84)
AK,2004,2,138.66,( 1.90)
AK,2004,3,142.03,( 2.01)
AK,2004,4,142.68,( 2.06)
AK,2005,1,147.40,( 2.12)
AK,2005,2,153.24,( 2.13)
AK,2005,3,158.73,( 2.22)
AK,2005,4,165.04,( 2.31)
AK,2006,1,167.25,( 2.42)
AK,2006,2,170.99,( 2.41)
AK,2006,3,174.61,( 2.42)
AK,2006,4,177.19,( 2.48)
AK,2007,1,178.93,( 2.52)
AK,2007,2,181.55,( 2.46)
AK,2007,3,181.78,( 2.48)
AK,2007,4,183.10,( 2.53)
AK,2008,1,181.66,( 2.43)
AK,2008,2,183.85,( 2.50)
AK,2008,3,181.23,( 2.50)
AK,2008,4,180.57,( 2.51)
AK,2009,1,182.97,( 2.39)
AK,2009,2,180.44,( 2.36)
AK,2009,3,179.58,( 2.48)
AK,2009,4,180.85,( 2.49)
AK,2010,1,175.55,( 2.46)
AK,2010,2,179.07,( 2.51)
AK,2010,3,180.92,( 2.45)
AK,2010,4,179.38,( 2.39)
AK,2011,1,182.22,( 2.53)
AK,2011,2,182.51,( 2.59)
AK,2011,3,180.24,( 2.50)
AK,2011,4,184.95,( 2.48)
AK,2012,1,183.65,( 2.54)
AK,2012,2,184.10,( 2.56)
AK,2012,3,186.17,( 2.55)
AK,2012,4,187.83,( 2.56)
AK,2013,1,189.80,( 2.59)
AK,2013,2,189.88,( 2.65)
AK,2013,3,191.44,( 2.76)
AK,2013,4,190.63,( 2.89)
AK,2014,1,187.43,( 2.93)
AK,2014,2,194.15,( 2.88)
AK,2014,3,196.10,( 2.93)
AK,2014,4,196.78,( 2.96)
AK,2015,1,198.50,( 2.99)
AK,2015,2,202.29,( 3.09)
AK,2015,3,203.85,( 3.08)
AK,2015,4,205.43,( 3.19)
AK,2016,1,202.65,( 3.15)
AK,2016,2,207.01,( 3.05)
AK,2016,3,211.29,( 3.04)
AK,2016,4,207.91,( 3.07)
AK,2017,1,208.79,( 3.28)
AK,2017,2,208.57,( 3.21)
AK,2017,3,214.78,( 3.28)
AK,2017,4,214.42,( 3.19)
AK,2018,1,216.67,( 3.30)
AK,2018,2,217.80,( 3.27)
AK,2018,3,221.04,( 3.33)
AK,2018,4,215.33,( 3.31)
AK,2019,1,218.92,( 3.30)
AK,2019,2,223.77,( 3.25)
AK,2019,3,223.46,( 3.21)
AK,2019,4,225.04,( 3.21)
AK,2020,1,225.16,( 3.23)
AK,2020,2,229.29,( 3.12)
AK,2020,3,233.12,( 3.27)
AK,2020,4,233.50,( 3.24)
AK,2021,1,237.29,( 3.30)
AK,2021,2,245.38,( 3.57)
AK,2021,3,257.38,( 3.78)
AK,2021,4,265.22,( 3.97)
AK,2022,1,265.83,( 4.30)
AK,2022,2,287.10,( 4.84)
AL,1995,1,100.00,( 0.00)
AL,1995,2,101.45,( 1.19)
AL,1995,3,104.39,( 1.11)
AL,1995,4,106.35,( 1.19)
AL,1996,1,108.65,( 1.13)
AL,1996,2,106.87,( 1.17)
AL,1996,3,107.69,( 1.20)
AL,1996,4,110.31,( 1.21)
AL,1997,1,110.56,( 1.23)
AL,1997,2,111.91,( 1.20)
AL,1997,3,111.89,( 1.18)
AL,1997,4,115.88,( 1.22)
AL,1998,1,118.51,( 1.16)
AL,1998,2,119.61,( 1.19)
AL,1998,3,120.79,( 1.20)
AL,1998,4,122.06,( 1.18)
AL,1999,1,121.91,( 1.20)
AL,1999,2,122.58,( 1.23)
AL,1999,3,122.40,( 1.26)
AL,1999,4,124.15,( 1.30)
AL,2000,1,125.28,( 1.29)
AL,2000,2,124.92,( 1.24)
AL,2000,3,127.55,( 1.26)
AL,2000,4,128.92,( 1.29)
AL,2001,1,132.95,( 1.27)
AL,2001,2,133.38,( 1.26)
AL,2001,3,134.26,( 1.27)
AL,2001,4,135.91,( 1.27)
AL,2002,1,135.89,( 1.28)
AL,2002,2,136.18,( 1.30)
AL,2002,3,138.13,( 1.30)
AL,2002,4,140.40,( 1.31)
AL,2003,1,141.41,( 1.32)
AL,2003,2,142.25,( 1.32)
